variety_0,corrected_variety
NSIC Rc 140 ( Tubigan 6 ),NSIC Rc 140
0hwbilis,NSIC Rc 410H
401,NSIC Rc 402
NSIC Rc 160 ( Tubigan 14 ),NSIC Rc 160
436,NSIC Rc 436
NSIC Rc 222 ( Tubigan 18 ),NSIC Rc 222
Sl8h,NSIC Rc 132H
Rc 222,NSIC Rc 222
NSIC Rc 210H ( Mestiso 23 ),NSIC Rc 210H
PSB Rc 10 ( Pagsanjan ),PSB Rc 10
NSIC Rc 508 ( Tubigan 42 ),NSIC Rc 508
PSB Rc 18 ( Ala ),PSB Rc 18
Other,Undefined
NSIC Rc 322H ( Mestiso 50 ) PHB79,NSIC Rc 322H
NSIC Rc 226 ( Tubigan 20 ),NSIC Rc 226
NSIC Rc 176H ( Mestiso 13 ) PHB73,NSIC Rc 176H
NSIC Rc 402 ( Tubigan 36 ),NSIC Rc 402
PHB83,PHB83
NSIC Rc 442 ( Tubigan 40 ),NSIC Rc 442
lp2096,NSIC Rc 404H
NSIC Rc 410H ( Mestiso 69 ) Arize HaBilis Plus,NSIC Rc 410H
NSIC Rc 376H ( Mestiso 59 ) Frontline S6003,NSIC Rc 376H
160,NSIC Rc 160
NSIC Rc 456H ( Mestiso 78 ) Longping ( LP ) 937,NSIC Rc 456H
NSIC Rc 300 ( Tubigan 24 ),NSIC Rc 300
NSIC Rc 486H ( Mestiso 80 ) Longping ( LP ) 534,NSIC Rc 486H
NSIC Rc 144 ( Tubigan 8 ),NSIC Rc 144
NSIC Rc 506 ( Tubigan 41 ),NSIC Rc 506
SL-20,NSIC Rc 540H
480,NSIC Rc 480
NSIC Rc 480 ( GSR 8 ),NSIC Rc 480
NSIC Rc 216 ( Tubigan 17 ),NSIC Rc 216
NSIC Rc 122 ( Angelica ),NSIC Rc 122
NSIC Rc 262H ( Mestiso 38 ),NSIC Rc 262H
bigante  plus,NSIC Rc 314H
nk5017,NSIC Rc 234H
habilis,NSIC Rc 410H
NSIC Rc 430 ( Sahod Ulan 20 ),NSIC Rc 430
NSIC Rc 222,NSIC Rc 222
phb 77,NSIC Rc 492H
PSB Rc 82 ( Pe?aranda ),PSB Rc 82
M20,NSIC Rc 204H
NSIC Rc 150 ( Tubigan 9 ),NSIC Rc 150
222,NSIC Rc 222
NSIC Rc 666H ( Mestiso 117 ) Jackpot 102,NSIC Rc 666H
NSIC Rc 156 ( Tubigan 12 ),NSIC Rc 156
NSIC Rc 152 ( Tubigan 10 ),NSIC Rc 152
358,NSIC Rc 358
bigante,NSIC Rc 314H
502,NSIC Rc 502H
lp 2029,NSIC Rc 404H
PHB79,NSIC Rc 322H
LP,NSIC Rc 404H
SL 8H,NSIC Rc 132H
NSIC Rc 118 ( Matatag 3 ),NSIC Rc 118
lp,NSIC Rc 404H
NSIC Rc 240 ( Tubigan 22 ),NSIC Rc 240
Rc222,NSIC Rc 222
rc216,NSIC Rc 216
PSB Rc 28 ( Agno ),PSB Rc 28
NSIC Rc 110 ( Tubigan 1 ),NSIC Rc 110
NSIC Rc 218SR ( Mabango 3 ),NSIC Rc 218SR
NSIC Rc 534 ( Salinas 29 ),NSIC Rc 534
SL-18H,SL-18H
NSIC Rc 436 ( Tubigan 37 ),NSIC Rc 436
NSIC Rc 234H ( Mestiso 27 ) NK5017,NSIC Rc 234H
RC 402,NSIC Rc 402
NSIC Rc 426 ( Sahod Ulan 18 ),NSIC Rc 426
350,NSIC Rc 350H
NSIC Rc 336 ( Salinas 16 ),NSIC Rc 336
RC 18,PSB Rc 18
NSIC Rc 280 ( Sahod Ulan 6 ),NSIC Rc 280
NSIC Rc 112 ( Tubigan 2 ),NSIC Rc 112
NSIC Rc 314H ( Mestiso 46 ) Arize Bigante Plus,NSIC Rc 314H
NSIC Rc 536 ( Salinas 30 ),NSIC Rc 536
NSIC Rc 204H ( Mestiso 20 ),NSIC Rc 204H
IR73885-1-4-3-2-1-6 ( Matatag 9 ),IR73885-1-4-3-2-1-6
PHB75,PHB75
NSIC Rc 458H ( Mestiso 79 ),NSIC Rc 458H
18,PSB Rc 18
RC18,PSB Rc 18
NSIC 2015 Rc 402,NSIC Rc 402
RC 538,NSIC Rc 538H
SL8H,NSIC Rc 132H
NSIC Rc 512 ( Tubigan 44 ),NSIC Rc 512
NSIC Rc 540H ( Mestiso 97 ) SL-20H,NSIC Rc 540H
216,NSIC Rc 216
LONG PING,NSIC Rc 404H
NSIC Rc 224 ( Tubigan 19 ),NSIC Rc 224
LAV 777,LAV 777
